N dim               Error Normal        Error Reverse

1.000000e+07        1.000010e-07        9.999999e-08
1.266380e+07        7.896712e-08        7.896523e-08
1.603719e+07        6.234709e-08        6.235507e-08
2.030918e+07        4.924661e-08        4.923883e-08
2.571914e+07        3.889065e-08        3.888155e-08
3.257021e+07        3.071500e-08        3.070291e-08
4.124626e+07        2.420261e-08        2.424462e-08
5.223345e+07        1.905751e-08        1.914482e-08
6.614741e+07        1.539940e-08        1.511775e-08
8.376776e+07        1.148690e-08        1.193777e-08
1.060818e+08        9.013651e-09        9.426685e-09
1.343399e+08        9.013651e-09        7.443803e-09
1.701254e+08        9.013651e-09        5.878016e-09
2.154435e+08        9.013651e-09        4.641589e-09
2.728333e+08        9.013651e-09        3.665241e-09
3.455107e+08        9.013651e-09        2.894266e-09
4.375479e+08        9.013651e-09        2.285464e-09
5.541020e+08        9.013651e-09        1.804722e-09
7.017038e+08        9.013651e-09        1.425103e-09
8.886238e+08        9.013651e-09        1.125336e-09
1.125336e+09        9.013651e-09        8.886238e-10
1.425103e+09        9.013651e-09        7.017038e-10
1.804722e+09        9.013651e-09        5.541021e-10
2.285464e+09        9.013651e-09        4.375480e-10
2.894266e+09        9.013651e-09        3.455107e-10
3.665241e+09        9.013651e-09        2.728333e-10
4.641589e+09        9.013651e-09        2.154434e-10
5.878016e+09        9.013651e-09        1.701255e-10
7.443803e+09        9.013651e-09        1.343399e-10
9.426685e+09        9.013651e-09        1.060818e-10
1.193777e+10        9.013651e-09        8.376766e-11
1.511775e+10        9.013651e-09        6.614731e-11
1.914482e+10        9.013651e-09        5.223355e-11
2.424462e+10        9.013651e-09        4.124634e-11
3.070291e+10        9.013651e-09        3.257017e-11
3.888155e+10        9.013651e-09        2.571920e-11
4.923883e+10        9.013651e-09        2.030909e-11
6.235507e+10        9.013651e-09        1.603717e-11
7.896523e+10        9.013651e-09        1.266387e-11
1.000000e+11        9.013651e-09        1.000000e-11
