N dim               Error Normal        Error Reverse

1.000000e+03        9.992209e-04        9.995785e-04
1.343399e+03        7.438746e-04        7.443515e-04
1.804722e+03        5.519477e-04        5.542127e-04
2.424462e+03        4.080621e-04        4.124728e-04
3.257021e+03        3.087607e-04        3.069726e-04
4.375479e+03        2.087441e-04        2.285329e-04
5.878017e+03        2.087441e-04        1.701203e-04
7.896523e+03        2.087441e-04        1.267281e-04
1.060818e+04        2.087441e-04        9.430321e-05
1.425103e+04        2.087441e-04        7.022293e-05
1.914481e+04        2.087441e-04        5.222233e-05
2.571914e+04        2.087441e-04        3.887089e-05
3.455109e+04        2.087441e-04        2.897652e-05
4.641592e+04        2.087441e-04        2.158554e-05
6.235507e+04        2.087441e-04        1.610191e-05
8.376780e+04        2.087441e-04        1.192959e-05
1.125335e+05        2.087441e-04        8.949355e-06
1.511775e+05        2.087441e-04        6.565170e-06
2.030919e+05        2.087441e-04        4.896240e-06
2.728336e+05        2.087441e-04        3.704147e-06
3.665242e+05        2.087441e-04        2.750473e-06
4.923886e+05        2.087441e-04        2.035217e-06
6.614740e+05        2.087441e-04        1.558380e-06
8.886241e+05        2.087441e-04        1.081542e-06
1.193778e+06        2.087441e-04        8.431239e-07
1.603720e+06        2.087441e-04        6.047053e-07
2.154436e+06        2.087441e-04        4.854960e-07
2.894265e+06        2.087441e-04        3.662867e-07
3.888156e+06        2.087441e-04        2.470774e-07
5.223348e+06        2.087441e-04        2.470774e-07
7.017044e+06        2.087441e-04        1.278681e-07
9.426696e+06        2.087441e-04        1.278681e-07
1.266381e+07        2.087441e-04        1.278681e-07
1.701256e+07        2.087441e-04        1.278681e-07
2.285464e+07        2.087441e-04        1.278681e-07
3.070293e+07        2.087441e-04        1.278681e-07
4.124630e+07        2.087441e-04        8.658835e-09
5.541022e+07        2.087441e-04        8.658835e-09
7.443808e+07        2.087441e-04        8.658835e-09
1.000000e+08        2.087441e-04        8.658835e-09
