N dim        Error Normal      Error Reverse

1000       9.9922087975e-04       9.9957850762e-04
1123       8.8978681015e-04       8.9014443802e-04
1262       7.9275044845e-04       7.9275044845e-04
1417       7.0596608566e-04       7.0548924850e-04
1592       6.2776479172e-04       6.2800321029e-04
1789       5.5766972946e-04       5.5921945022e-04
2009       4.9985322403e-04       4.9770745682e-04
2257       4.4072541641e-04       4.4299039291e-04
2535       3.9482983993e-04       3.9447221207e-04
2848       3.5751733230e-04       3.5108003067e-04
3199       3.1567487167e-04       3.1257543014e-04
3594       2.6870641159e-04       2.7836236404e-04
4037       2.1577747248e-04       2.4772557663e-04
4535       2.0874412439e-04       2.2054584406e-04
5094       2.0874412439e-04       1.9634635828e-04
5722       2.0874412439e-04       1.7476947687e-04
6428       2.0874412439e-04       1.5557678125e-04
7221       2.0874412439e-04       1.3852985285e-04
8111       2.0874412439e-04       1.2327106379e-04
9112       2.0874412439e-04       1.0980041407e-04
10235       2.0874412439e-04       9.7760275821e-05
11498       2.0874412439e-04       8.7031439762e-05
12916       2.0874412439e-04       7.7375487308e-05
14508       2.0874412439e-04       6.8911627750e-05
16298       2.0874412439e-04       6.1401442508e-05
18307       2.0874412439e-04       5.4606513004e-05
20565       2.0874412439e-04       4.8646048526e-05
23101       2.0874412439e-04       4.3281630496e-05
25950       2.0874412439e-04       3.8513258914e-05
29151       2.0874412439e-04       3.4340933780e-05
32745       2.0874412439e-04       3.0526236515e-05
36784       2.0874412439e-04       2.7188376407e-05
41320       2.0874412439e-04       2.4208144168e-05
46416       2.0874412439e-04       2.1585539798e-05
52140       2.0874412439e-04       1.9201354007e-05
58570       2.0874412439e-04       1.7055586795e-05
65793       2.0874412439e-04       1.5148238163e-05
73907       2.0874412439e-04       1.3479308109e-05
83022       2.0874412439e-04       1.2048796634e-05
93260       2.0874412439e-04       1.0737494449e-05
104762       2.0874412439e-04       9.5454015536e-06
117681       2.0874412439e-04       8.4725179477e-06
132194       2.0874412439e-04       7.5188440860e-06
148497       2.0874412439e-04       6.8035883487e-06
166810       2.0874412439e-04       6.0883326114e-06
187382       2.0874412439e-04       5.3730768741e-06
210491       2.0874412439e-04       4.7770304263e-06
236449       2.0874412439e-04       4.1809839786e-06
265609       2.0874412439e-04       3.8233561099e-06
298365       2.0874412439e-04       3.3465189517e-06
335160       2.0874412439e-04       2.9888910831e-06
376494       2.0874412439e-04       2.7504725040e-06
422924       2.0874412439e-04       2.3928446353e-06
475081       2.0874412439e-04       2.1544260562e-06
533670       2.0874412439e-04       1.9160074771e-06
599484       2.0874412439e-04       1.6775888980e-06
673416       2.0874412439e-04       1.5583796085e-06
756463       2.0874412439e-04       1.3199610294e-06
849754       2.0874412439e-04       1.2007517398e-06
954549       2.0874412439e-04       1.0815424503e-06
1072268       2.0874412439e-04       9.6233316071e-07
1204505       2.0874412439e-04       8.4312387116e-07
1353048       2.0874412439e-04       7.2391458161e-07
1519912       2.0874412439e-04       7.2391458161e-07
1707354       2.0874412439e-04       6.0470529206e-07
1917911       2.0874412439e-04       6.0470529206e-07
2154438       2.0874412439e-04       4.8549600251e-07
2420129       2.0874412439e-04       3.6628671296e-07
2718591       2.0874412439e-04       3.6628671296e-07
3053855       2.0874412439e-04       3.6628671296e-07
3430471       2.0874412439e-04       3.6628671296e-07
3853526       2.0874412439e-04       2.4707742341e-07
4328762       2.0874412439e-04       2.4707742341e-07
4862606       2.0874412439e-04       2.4707742341e-07
5462276       2.0874412439e-04       2.4707742341e-07
6135912       2.0874412439e-04       1.2786811965e-07
6892609       2.0874412439e-04       1.2786811965e-07
7742640       2.0874412439e-04       1.2786811965e-07
8697500       2.0874412439e-04       1.2786811965e-07
9770099       2.0874412439e-04       1.2786811965e-07
10974996       2.0874412439e-04       1.2786811965e-07
12328463       2.0874412439e-04       1.2786811965e-07
13848869       2.0874412439e-04       1.2786811965e-07
15556780       2.0874412439e-04       1.2786811965e-07
17475284       2.0874412439e-04       1.2786811965e-07
19630422       2.0874412439e-04       1.2786811965e-07
22051300       2.0874412439e-04       1.2786811965e-07
24770776       2.0874412439e-04       1.2786811965e-07
27825628       2.0874412439e-04       1.2786811965e-07
31257162       2.0874412439e-04       1.2786811965e-07
35111948       2.0874412439e-04       8.6588345383e-09
39442052       2.0874412439e-04       8.6588345383e-09
44306240       2.0874412439e-04       8.6588345383e-09
49770300       2.0874412439e-04       8.6588345383e-09
55908112       2.0874412439e-04       8.6588345383e-09
62802976       2.0874412439e-04       8.6588345383e-09
70548144       2.0874412439e-04       8.6588345383e-09
79248336       2.0874412439e-04       8.6588345383e-09
89021464       2.0874412439e-04       8.6588345383e-09
100000024       2.0874412439e-04       8.6588345383e-09
